disp_penalty,edit_direction_cosine,edit_direction_mse,effective_objective_scale,elapsed_seconds,fold_penalty,foldover_fraction_det_below_0,grad_norm,initial_objective_grad_norm,initial_regularizer_grad_norm,iter,jacobian_det_mean,jacobian_det_min,loss,low_det_fraction_below_0p2,max_disp_px,mean_disp_px,normalized_visual_mse,objective,objective_gradient_probe_multiplier,p95_disp_px,scaled_objective,smooth_penalty,unet_prediction_mse,vae_conditioning_mse,visual_mse
0.001005208701826632,0.9958724975585938,8.743203920857923e-07,20661.87151459114,2.7750963754951954,0.0,0.0,0.02111923135817051,2.161163091659546e-06,0.011907646432518959,1,1.0,0.9661807417869568,-0.016722414642572403,0.0,0.6556917428970337,0.11115847527980804,0.00014520014519803226,8.743203920857923e-07,1000000.0,0.43399277329444885,0.01806509494781494,0.0004396988661028445,7.52559644752182e-05,0.507327675819397,3.219197242287919e-05
0.003773661097511649,0.9947382807731628,1.1466585192465573e-06,20661.87151459114,4.089436179026961,0.0,0.0,0.015240706503391266,2.161163091659546e-06,0.011907646432518959,2,1.0,0.9505569338798523,-0.018482409417629242,0.0,1.1768996715545654,0.21673958003520966,0.0006219454226084054,1.1466585192465573e-06,1000000.0,0.8166225552558899,0.023692110553383827,0.0007956683984957635,0.00017586337344255298,1.1682994365692139,0.00013789001968689263
0.003715202212333679,0.9946303367614746,1.170054815702315e-06,20661.87151459114,5.432982446625829,0.0,0.0,0.021845921874046326,2.161163091659546e-06,0.011907646432518959,3,1.0,0.9653720259666443,-0.019169818609952927,0.0,1.2317602634429932,0.2213268280029297,0.0005920340772718191,1.170054815702315e-06,1000000.0,0.7881371378898621,0.024175520986318588,0.0008122717263177037,0.00018963760521728545,1.2811614274978638,0.00013125844998285174
0.0028726032469421625,0.9948406219482422,1.123915012612997e-06,20661.87151459114,6.733004733920097,0.0,0.0,0.023652009665966034,2.161163091659546e-06,0.011907646432518959,4,1.0,0.9603222012519836,-0.019562356173992157,0.0,1.152225136756897,0.19237574934959412,0.0004203972057439387,1.123915012612997e-06,1000000.0,0.7331863641738892,0.023222187533974648,0.0007228818722069263,0.00015167181845754385,1.0496869087219238,9.320524986833334e-05
0.0038791571278125048,0.9948660135269165,1.1165668638568604e-06,20661.87151459114,8.07911130785942,0.0,0.0,0.033312611281871796,2.161163091659546e-06,0.011907646432518959,5,1.0,0.9451528787612915,-0.018526297062635422,0.0,1.2493058443069458,0.21498757600784302,0.000518319196999073,1.1165668638568604e-06,1000000.0,0.8999260663986206,0.023070361465215683,0.0008019355009309947,0.00015392390196211636,1.0300778150558472,0.00011491529585327953
0.003074516309425235,0.9949678778648376,1.0809391142174718e-06,20661.87151459114,9.52479376271367,0.0,0.0,0.015346200205385685,2.161163091659546e-06,0.011907646432518959,6,1.0,0.9524654150009155,-0.018364831805229187,0.0,1.1475636959075928,0.19188937544822693,0.0004597191291395575,1.0809391142174718e-06,1000000.0,0.797441840171814,0.022334225475788116,0.0007419844041578472,0.00014683697372674942,0.978216826915741,0.00010192321497015655
0.0025154605973511934,0.994925320148468,1.0988062513206387e-06,20661.87151459114,10.844538422301412,0.0,0.0,0.015072616748511791,2.161163091659546e-06,0.011907646432518959,7,1.0,0.959079921245575,-0.019076935946941376,0.0,1.0943962335586548,0.17553043365478516,0.00042651937110349536,1.0988062513206387e-06,1000000.0,0.7227074503898621,0.022703392431139946,0.0007162151741795242,0.000149374216562137,0.9883784651756287,9.456257976125926e-05
0.0019312058575451374,0.9949467778205872,1.097318431675376e-06,20661.87151459114,12.240511182695627,0.0,0.0,0.010216359980404377,2.161163091659546e-06,0.011907646432518959,8,1.0,0.9664021134376526,-0.019468901678919792,0.0,1.0293704271316528,0.15467219054698944,0.0003836152027361095,1.097318431675376e-06,1000000.0,0.6209326982498169,0.02267265133559704,0.0006649893475696445,0.00014735368313267827,0.9421807527542114,8.505040023010224e-05
0.0015342456754297018,0.9950140118598938,1.078052150660369e-06,20661.87151459114,13.78267982415855,0.0,0.0,0.013483142480254173,2.161163091659546e-06,0.011907646432518959,9,1.0,0.972173810005188,-0.01930963434278965,0.0,0.9993372559547424,0.13614553213119507,0.0003618939081206918,1.078052150660369e-06,1000000.0,0.5560125112533569,0.022274574264883995,0.0006276315543800592,0.00015025559696368873,0.9503984451293945,8.023462578421459e-05
0.0014752669958397746,0.9949396252632141,1.090464138542302e-06,20661.87151459114,15.729212451726198,0.0,0.0,0.011548727750778198,2.161163091659546e-06,0.011907646432518959,10,1.0,0.9784452319145203,-0.01946210488677025,0.0,1.0240559577941895,0.13214048743247986,0.00037957311724312603,1.090464138542302e-06,1000000.0,0.5326739549636841,0.02253102883696556,0.0006231074221432209,0.0001530024310341105,0.9702825546264648,8.41542350826785e-05
0.0014034801861271262,0.9950084686279297,1.0828230188053567e-06,20661.87151459114,17.075688088312745,0.0,0.0,0.01746470481157303,2.161163091659546e-06,0.011907646432518959,11,1.0,0.9815578460693359,-0.01937047392129898,0.0,1.0539789199829102,0.1338384747505188,0.0003725915739778429,1.0828230188053567e-06,1000000.0,0.4772951304912567,0.022373149171471596,0.0006094693671911955,0.000146237580338493,0.9313172101974487,8.260637696366757e-05
0.0013978143688291311,0.9952341914176941,1.0174511544391862e-06,20661.87151459114,18.26817138120532,0.0,0.0,0.009981729090213776,2.161163091659546e-06,0.011907646432518959,12,0.9999999403953552,0.982535183429718,-0.018192483112215996,0.0,1.1130677461624146,0.13355939090251923,0.0003467719943728298,1.0174511544391862e-06,1000000.0,0.47988754510879517,0.02102244459092617,0.0006098478916101158,0.0001334072439931333,0.8638218641281128,7.688198093092069e-05
0.0014338806504383683,0.9952890276908875,1.0081247410198557e-06,20661.87151459114,19.86490148678422,0.0,0.0,0.008196773938834667,2.161163091659546e-06,0.011907646432518959,13,1.0,0.9818499684333801,-0.018128549680113792,0.0,1.1304757595062256,0.13367179036140442,0.0003262468380853534,1.0081247410198557e-06,1000000.0,0.4898892939090729,0.020829742774367332,0.0006111880065873265,0.00012446117762010545,0.831164538860321,7.233140058815479e-05
0.0014700873289257288,0.995252251625061,1.0187644647885463e-06,20661.87151459114,20.982241295278072,0.0,0.0,0.01371394470334053,2.161163091659546e-06,0.011907646432518959,14,1.0,0.9816875457763672,-0.018409058451652527,0.0,1.1343902349472046,0.13380184769630432,0.00031576098990626633,1.0187644647885463e-06,1000000.0,0.5018282532691956,0.021049579605460167,0.0006157633615657687,0.00012315576896071434,0.8323198556900024,7.000660843914375e-05
0.001439009909518063,0.9952297210693359,1.0230780844722176e-06,20661.87151459114,22.515819419175386,0.0,0.0,0.011302082799375057,2.161163091659546e-06,0.011907646432518959,15,1.0,0.980177640914917,-0.01854556053876877,0.0,1.1080068349838257,0.13096216320991516,0.0003091136459261179,1.0230780844722176e-06,1000000.0,0.4955749809741974,0.021138707175850868,0.0006234009633772075,0.0001291486987611279,0.8487721681594849,6.853284139651805e-05
0.001464558532461524,0.9951589703559875,1.0406382671135361e-06,20661.87151459114,24.104082826524973,0.0,0.0,0.014045714400708675,2.161163091659546e-06,0.011907646432518959,16,1.0,0.9785693883895874,-0.018831748515367508,0.0,1.1191935539245605,0.13128414750099182,0.0003189104318153113,1.0406382671135361e-06,1000000.0,0.48971328139305115,0.021501533687114716,0.0006393183721229434,0.00012813069042749703,0.8567785620689392,7.070486026350409e-05
0.0015694162575528026,0.9951519966125488,1.0468614846104174e-06,20661.87151459114,25.09428348019719,0.0,0.0,0.009514706209301949,2.161163091659546e-06,0.011907646432518959,17,1.0,0.9761489629745483,-0.018769245594739914,0.0,1.1152430772781372,0.13701951503753662,0.0003430616925470531,1.0468614846104174e-06,1000000.0,0.5064269304275513,0.021630117669701576,0.0006630201241932809,0.00013491355639416724,0.901204526424408,7.605937571497634e-05
0.0016465306980535388,0.9949553608894348,1.0909369621003862e-06,20661.87151459114,26.68238647095859,0.0,0.0,0.009879562072455883,2.161163091659546e-06,0.011907646432518959,18,1.0,0.9737809896469116,-0.019436316564679146,0.0,1.1017149686813354,0.14118051528930664,0.00037619666545651853,1.0909369621003862e-06,1000000.0,0.5305989384651184,0.022540798410773277,0.0006825149757787585,0.0001447394024580717,0.9491206407546997,8.340565545950085e-05
0.001634742715395987,0.9949213862419128,1.0967871730827028e-06,20661.87151459114,27.874327775090933,0.0,0.0,0.008664329536259174,2.161163091659546e-06,0.011907646432518959,19,1.0,0.9719480276107788,-0.019504452124238014,0.0,1.1077407598495483,0.13991756737232208,0.00038406086969189346,1.0967871730827028e-06,1000000.0,0.537532389163971,0.02266167476773262,0.0006894948892295361,0.00014924882270861417,0.9612416625022888,8.514920773450285e-05
0.0015226980904117227,0.9951332211494446,1.0539840786805144e-06,20661.87151459114,29.03218754194677,0.0,0.0,0.010496515780687332,2.161163091659546e-06,0.011907646432518959,20,1.0,0.9704168438911438,-0.018796950578689575,0.0,1.1064151525497437,0.1336599588394165,0.00036154911504127085,1.0539840786805144e-06,1000000.0,0.5223278999328613,0.021777283400297165,0.0006776222726330161,0.00014333258150145411,0.9085886478424072,8.015817729756236e-05
0.0014114677906036377,0.9951972961425781,1.029040731737041e-06,20661.87151459114,30.591011891141534,0.0,0.0,0.013050982728600502,2.161163091659546e-06,0.011907646432518959,21,0.9999999403953552,0.9696325063705444,-0.018556687980890274,0.0,1.0892497301101685,0.127690851688385,0.00032471251324750483,1.029040731737041e-06,1000000.0,0.5003048181533813,0.021261906251311302,0.0006579714827239513,0.00013785249029751867,0.8763045072555542,7.199122774181888e-05
0.0013634493807330728,0.9952118992805481,1.0235844456474297e-06,20661.87151459114,31.87669214978814,0.0,0.0,0.00842259544879198,2.161163091659546e-06,0.011907646432518959,22,1.0,0.9669679999351501,-0.018703339621424675,0.0,1.0391005277633667,0.12591955065727234,0.00028823662432841957,1.0235844456474297e-06,1000000.0,0.4884776473045349,0.0211491696536541,0.0006400328129529953,0.00013437280722428113,0.8770368099212646,6.390424823621288e-05
0.0014000143855810165,0.99531090259552,9.977569561669952e-07,20661.87151459114,33.066950246691704,0.0,0.0,0.015086420811712742,2.161163091659546e-06,0.011907646432518959,23,1.0,0.9638653993606567,-0.018248438835144043,0.0,0.9870721101760864,0.1310352385044098,0.00027518562274053693,9.977569561669952e-07,1000000.0,0.4885287582874298,0.020615525543689728,0.0006419027922675014,0.00013465798110701144,0.8654249310493469,6.10107381362468e-05
0.0014141900464892387,0.9951888918876648,1.03325965028489e-06,20661.87151459114,34.62934454344213,0.0,0.0,0.058823321014642715,2.161163091659546e-06,0.011907646432518959,24,1.0,0.9614794254302979,-0.018922913819551468,0.0,0.9833799600601196,0.13346856832504272,0.00028331525390967727,1.03325965028489e-06,1000000.0,0.48892807960510254,0.02134907804429531,0.0006473322282545269,0.00014079222455620766,0.9017481803894043,6.281313835643232e-05
0.0014114044606685638,0.9951058626174927,1.0530566214583814e-06,20661.87151459114,35.94990229792893,0.0,0.0,0.024697722867131233,2.161163091659546e-06,0.011907646432518959,25,1.0,0.9622675180435181,-0.01921277493238449,0.0,1.1480638980865479,0.1285439133644104,0.00030099190189503133,1.0530566214583814e-06,1000000.0,0.4804134666919708,0.021758120507001877,0.0006527489749714732,0.00013213211786933243,0.8736414909362793,6.673218740615994e-05
