disp_penalty,edit_direction_cosine,edit_direction_mse,elapsed_seconds,fold_penalty,foldover_fraction_det_below_0,grad_norm,iter,jacobian_det_mean,jacobian_det_min,loss,low_det_fraction_below_0p2,max_disp_px,mean_disp_px,normalized_visual_mse,objective,p95_disp_px,scaled_objective,smooth_penalty,unet_prediction_mse,vae_conditioning_mse,visual_mse
0.0014809247804805636,0.9329139590263367,6.411835329345195e-07,0.8030211795121431,0.0,0.0,0.011308146640658379,1,1.0,0.9891099333763123,0.0011261312756687403,0.0,0.5290063619613647,0.09403524547815323,9.488955402048305e-05,6.411835329345195e-07,0.3174896240234375,1.9235505988035584e-06,0.0005018446827307343,4.262632046447834e-06,0.3455313444137573,2.1037732949480414e-05
0.004755751229822636,0.9317488670349121,6.452303296100581e-07,1.582169994711876,0.0,0.0,0.02105417102575302,2,1.0,0.9659789800643921,0.0036049860063940287,0.0,0.8079934120178223,0.16427043080329895,0.0003475356206763536,6.452303296100581e-07,0.6310367584228516,1.9356909888301743e-06,0.0008605830371379852,1.0602661859593354e-05,0.924582839012146,7.705128518864512e-05
0.002099407836794853,0.9337676167488098,6.298230346146738e-07,2.341163629665971,0.0,0.0,0.015660639852285385,3,1.0,0.980962872505188,0.0017671126406639814,0.0,0.6001186370849609,0.10418125987052917,0.00016885687364265323,6.298230346146738e-07,0.44333451986312866,1.8894691038440214e-06,0.0005650374223478138,6.4119121816474944e-06,0.5285695791244507,3.743685010704212e-05
0.0012303281109780073,0.9345067143440247,6.25778739049565e-07,3.15910735912621,0.0,0.0,0.011219827458262444,4,1.0,0.9808246493339539,0.0009598224423825741,0.0,0.3799159526824951,0.08300429582595825,7.969415310071781e-05,6.25778739049565e-07,0.3217729926109314,1.8773362171486951e-06,0.0004639254475478083,4.13500310969539e-06,0.3411712050437927,1.7668797227088362e-05
0.0018496850971132517,0.9330410957336426,6.408992021533777e-07,3.9849416315555573,0.0,0.0,0.01624451018869877,5,1.0,0.986170768737793,0.0016644386341795325,0.0,0.5142000317573547,0.10295940935611725,0.00016300755669362843,6.408992021533777e-07,0.3822004199028015,1.922697720146971e-06,0.0005305599770508707,6.187517101352569e-06,0.47335928678512573,3.614001252572052e-05
0.001500918879173696,0.9364359378814697,6.057191512809368e-07,4.811005175113678,0.0,0.0,0.014124725945293903,6,1.0,0.9897264838218689,0.0013407738879323006,0.0,0.5686513185501099,0.0855749323964119,0.00012908199278172106,6.057191512809368e-07,0.3924002945423126,1.8171574538428104e-06,0.0004596338840201497,5.7448460211162455e-06,0.4205329418182373,2.8618456781259738e-05
0.0007221876876428723,0.9377328753471375,5.9336224467188e-07,5.681285183876753,0.0,0.0,0.009176276624202728,7,1.0,0.9912935495376587,0.0006250234437175095,0.0,0.3347241282463074,0.06527771055698395,5.1542865548981354e-05,5.9336224467188e-07,0.23997128009796143,1.7800866771722212e-06,0.0003488565853331238,2.7405399123381358e-06,0.21961799263954163,1.1427444405853748e-05
0.000634708849247545,0.9397857189178467,5.70851057091204e-07,6.822101652622223,0.0,0.0,0.010298153385519981,8,1.0,0.9894147515296936,0.0006319478852674365,0.0,0.2541976273059845,0.06263267993927002,5.591190347331576e-05,5.70851057091204e-07,0.21699374914169312,1.712553171273612e-06,0.0003370896738488227,2.459325514791999e-06,0.1971118450164795,1.2396092643029988e-05
0.001002277946099639,0.9352491497993469,6.16056013313937e-07,8.23356120288372,0.0,0.0,0.012774094939231873,9,1.0,0.9886564016342163,0.0009672465967014432,0.0,0.37293684482574463,0.07633047550916672,9.179853805107996e-05,6.16056013313937e-07,0.2727189064025879,1.848168039941811e-06,0.00039516534889116883,4.3803502194350585e-06,0.3329353928565979,2.035243232967332e-05
0.0009494232945144176,0.9364436864852905,6.037671482772566e-07,9.393751967698336,0.0,0.0,0.011018658988177776,10,1.0,0.989320695400238,0.0008379071368835866,0.0,0.38708269596099854,0.07453484833240509,7.271149661391973e-05,6.037671482772566e-07,0.26193228363990784,1.81130144483177e-06,0.00041553270420990884,3.905084668076597e-06,0.30884817242622375,1.612068990652915e-05
0.0005646075587719679,0.9391415119171143,5.797457447442866e-07,10.382889363914728,0.0,0.0,0.008210674859583378,11,1.0,0.9888252019882202,0.0005382527015171945,0.0,0.2506181597709656,0.05897048860788345,4.260339483153075e-05,5.797457447442866e-07,0.20302429795265198,1.739237177389441e-06,0.0003592639113776386,2.5583728984202025e-06,0.20442500710487366,9.445495379623026e-06
0.00036252127029001713,0.9448204040527344,5.214429847910651e-07,11.13336300291121,0.0,0.0,0.008895319886505604,12,1.0,0.990846574306488,0.0004705314931925386,0.0,0.24193522334098816,0.045233629643917084,4.3610802094917744e-05,5.214429847910651e-07,0.16844221949577332,1.5643289543731953e-06,0.00027381553081795573,2.0299526113376487e-06,0.16296601295471191,9.668845450505614e-06
0.00039064063457772136,0.94230055809021,5.485773613145284e-07,12.123509107157588,0.0,0.0,0.01002230029553175,13,1.0,0.9937642216682434,0.000502543174661696,0.0,0.2664276957511902,0.04623851180076599,4.9451133236289024e-05,5.485773613145284e-07,0.19092680513858795,1.6457320271001663e-06,0.00024287508858833462,2.1746927814092487e-06,0.16103729605674744,1.0963691238430329e-05
0.0004312155651859939,0.9428235292434692,5.428743179436424e-07,13.224352661520243,0.0,0.0,0.008406654931604862,14,1.0,0.9964242577552795,0.0004117397766094655,0.0,0.272704541683197,0.048823438584804535,3.4984375815838575e-05,5.428743179436424e-07,0.18771307170391083,1.6286229538309271e-06,0.00023609053459949791,1.835931698224158e-06,0.14457347989082336,7.756301783956587e-06
0.00039158464642241597,0.9447312355041504,5.25846587606793e-07,14.30405637435615,0.0,0.0,0.0073274653404951096,15,1.0,0.9930257201194763,0.0003697159991133958,0.0,0.2176196128129959,0.047861918807029724,2.8417085559340194e-05,5.25846587606793e-07,0.1776234656572342,1.5775397059769602e-06,0.0002599202562123537,1.6926150010476704e-06,0.12720532715320587,6.3002835304359905e-06
0.00029899959918111563,0.9452362060546875,5.208190714256489e-07,15.261538587510586,0.0,0.0,0.007860020734369755,16,1.0,0.9871046543121338,0.00036770309088751674,0.0,0.24098637700080872,0.040681883692741394,3.1676856451667845e-05,5.208190714256489e-07,0.1542639434337616,1.5624572142769466e-06,0.00024693907471373677,1.7571496755408589e-06,0.1455843448638916,7.0229993980319705e-06
0.00023125208099372685,0.9481858015060425,4.880769211013103e-07,16.28711681999266,0.0,0.0,0.007932135835289955,17,1.0,0.9858924746513367,0.000342500425176695,0.0,0.2353927344083786,0.03457127511501312,3.104094139416702e-05,4.880769211013103e-07,0.14049601554870605,1.4642307633039309e-06,0.00022813468240201473,1.3514321608454338e-06,0.10238046199083328,6.882011803099886e-06
0.00024016400857362896,0.9461888074874878,5.071194095762621e-07,17.389982031658292,0.0,0.0,0.006471661850810051,18,1.0,0.9900227785110474,0.00028407745412550867,0.0,0.15425990521907806,0.038249291479587555,2.16909156733891e-05,5.071194095762621e-07,0.13081680238246918,1.5213581718853675e-06,0.000233237020438537,1.2442885690688854e-06,0.09578128159046173,4.809040547115728e-06
0.0002738992916420102,0.9453056454658508,5.161599574421416e-07,18.588225703686476,0.0,0.0,0.006355715449899435,19,1.0,0.9912301898002625,0.0002880196552723646,0.0,0.16877561807632446,0.04072728008031845,2.0568633772199973e-05,5.161599574421416e-07,0.14547808468341827,1.5484798723264248e-06,0.0002449540188536048,1.44469822771498e-06,0.1069822609424591,4.560221896099392e-06
0.00023882401001174003,0.9460772275924683,5.079495508653054e-07,19.360008858144283,0.0,0.0,0.006566883996129036,20,1.0,0.9924371838569641,0.00028392221429385245,0.0,0.16255776584148407,0.03812110424041748,2.134815622412134e-05,5.079495508653054e-07,0.13114318251609802,1.5238485957524972e-06,0.00023922452237457037,1.6085045899671968e-06,0.12135697901248932,4.733048172056442e-06
0.00017617295088712126,0.9500797986984253,4.691483184160461e-07,20.37311547063291,0.0,0.0,0.005911975633352995,21,1.0,0.993004322052002,0.00023147421597968787,0.0,0.17585714161396027,0.03154126554727554,1.8012995496974327e-05,4.691483184160461e-07,0.11871735751628876,1.4074449836698477e-06,0.00019459635950624943,1.2018197139695985e-06,0.08735010027885437,3.993617610831279e-06
0.00016029871767386794,0.9507932066917419,4.6371746975637507e-07,21.568193895742297,0.0,0.0,0.005318261682987213,22,1.0,0.9928452968597412,0.00018803388229571283,0.0,0.1447017639875412,0.030326569452881813,1.3931552530266345e-05,4.6371746975637507e-07,0.11217894405126572,1.3911524092691252e-06,0.00016175842029042542,9.996909966503154e-07,0.06961990892887115,3.0887308639648836e-06
0.0001654988736845553,0.9502373933792114,4.6847532075844356e-07,22.47180180065334,0.0,0.0,0.00544032733887434,23,1.0,0.9933681488037109,0.00017725516227073967,0.0,0.14423896372318268,0.03142130747437477,1.230583347933134e-05,4.6847532075844356e-07,0.1081770807504654,1.4054260191187495e-06,0.00015927976346574724,8.758269132158603e-07,0.060284100472927094,2.728296522036544e-06
