disp_penalty,edit_direction_cosine,edit_direction_mse,effective_objective_scale,elapsed_seconds,fold_penalty,foldover_fraction_det_below_0,grad_norm,initial_objective_grad_norm,initial_regularizer_grad_norm,iter,jacobian_det_mean,jacobian_det_min,loss,low_det_fraction_below_0p2,max_disp_px,mean_disp_px,normalized_visual_mse,objective,objective_gradient_probe_multiplier,p95_disp_px,scaled_objective,smooth_penalty,unet_prediction_mse,vae_conditioning_mse,visual_mse
0.0014578236732631922,0.9317675828933716,6.555843015121354e-07,2112190.724480823,0.8540484290570021,0.0,0.0,0.03723464533686638,1.8125263974070548e-08,0.010209070518612862,1,1.0,0.9801750183105469,-1.3836334943771362,0.0,0.4327509105205536,0.09290187805891037,8.810483268462121e-05,6.555843015121354e-07,1000000.0,0.34896957874298096,1.3847191333770752,0.0005202926695346832,4.7282801460823976e-06,0.37621915340423584,1.9533508748281747e-05
0.012002917006611824,0.9296407103538513,6.768417506464175e-07,2112190.724480823,1.3223363813012838,0.0,0.0,0.02895841747522354,1.8125263974070548e-08,0.010209070518612862,2,1.0,0.9797630906105042,-1.4211050271987915,0.0,1.569833517074585,0.26575204730033875,0.0008386755944229662,6.768417506464175e-07,1000000.0,0.9238283634185791,1.4296188354492188,0.001337454654276371,1.4557094800693449e-05,1.2845773696899414,0.00018594073480926454
0.016135791316628456,0.9301167726516724,6.677233841401176e-07,2112190.724480823,1.7423641942441463,0.0,0.0,0.03461794555187225,1.8125263974070548e-08,0.010209070518612862,3,1.0,0.9515553116798401,-1.3997641801834106,0.0,1.8933151960372925,0.30124932527542114,0.0010069853160530329,6.677233841401176e-07,1000000.0,1.0667591094970703,1.4103591442108154,0.0016752997180446982,1.6289384802803397e-05,1.403296709060669,0.00022325626923702657
0.015146562829613686,0.9302085638046265,6.635608542637783e-07,2112190.724480823,2.1662952546030283,0.0,0.0,0.03603923320770264,1.8125263974070548e-08,0.010209070518612862,4,1.0,0.9349334239959717,-1.3908430337905884,0.0,1.727021336555481,0.28680992126464844,0.0010547712445259094,6.635608542637783e-07,1000000.0,1.1155643463134766,1.4015671014785767,0.0016980203799903393,1.6170992239494808e-05,1.4287383556365967,0.00023385079111903906
0.013802511617541313,0.9305087327957153,6.580365834452095e-07,2112190.724480823,2.635849103331566,0.0,0.0,0.04578615352511406,1.8125263974070548e-08,0.010209070518612862,5,1.0,0.9342963099479675,-1.3794620037078857,0.0,1.3396567106246948,0.28165674209594727,0.0010552123421803117,6.580365834452095e-07,1000000.0,1.0188367366790771,1.3898987770080566,0.0016446819063276052,1.7169157217722386e-05,1.5613844394683838,0.00023394857998937368
0.013548843562602997,0.9309073090553284,6.623092190238822e-07,2112190.724480823,3.0739774964749813,0.0,0.0,0.04605395346879959,1.8125263974070548e-08,0.010209070518612862,6,1.0,0.9173928499221802,-1.3893120288848877,0.0,1.2396949529647827,0.2817160189151764,0.0009389710612595081,6.623092190238822e-07,1000000.0,1.00450599193573,1.398923397064209,0.0016406686045229435,1.6248468455160037e-05,1.3949393033981323,0.00020817700715269893
0.010539562441408634,0.9305997490882874,6.550703801622149e-07,2112190.724480823,3.501912461593747,0.0,0.0,0.022754335775971413,1.8125263974070548e-08,0.010209070518612862,7,0.9999999403953552,0.9128252863883972,-1.3769322633743286,0.0,1.3127834796905518,0.24597765505313873,0.0005996436229906976,6.550703801622149e-07,1000000.0,0.948151171207428,1.3836336135864258,0.0015126599464565516,1.4282259144238196e-05,1.270606517791748,0.00013294554082676768
0.00871045608073473,0.9302166700363159,6.625185733355465e-07,2112190.724480823,3.9554924704134464,0.0,0.0,0.03558496758341789,1.8125263974070548e-08,0.010209070518612862,8,1.0,0.9128665924072266,-1.3942549228668213,0.0,1.3059433698654175,0.21795766055583954,0.00042317697079852223,6.625185733355465e-07,1000000.0,0.8774762153625488,1.3993655443191528,0.0013846310321241617,1.2296159184188582e-05,1.0989785194396973,9.382154530612752e-05
0.010038011707365513,0.9295691251754761,6.732452675350942e-07,2112190.724480823,4.385777812451124,0.0,0.0,0.019105300307273865,1.8125263974070548e-08,0.010209070518612862,9,1.0,0.9128009676933289,-1.4158976078033447,0.0,1.3309122323989868,0.2372814565896988,0.0005372322048060596,6.732452675350942e-07,1000000.0,0.8900999426841736,1.4220224618911743,0.0013601344544440508,1.327268637396628e-05,1.1815078258514404,0.0001191084593301639
0.012805625796318054,0.9298577308654785,6.580745548490086e-07,2112190.724480823,4.8516371343284845,0.0,0.0,0.030119359493255615,1.8125263974070548e-08,0.010209070518612862,10,0.9999999403953552,0.9150583148002625,-1.381484031677246,0.0,1.3513636589050293,0.2728211283683777,0.0008051969343796372,6.580745548490086e-07,1000000.0,0.9461599588394165,1.3899790048599243,0.0014458419755101204,1.494935895607341e-05,1.336136817932129,0.00017851826851256192
