case_id,clean_clip_margin,clean_l2,clean_original_path,clean_output_path,clean_psnr,clean_quality_label,clean_ssim,existing_facial_hair,existing_glasses,face_id,guidance_scale,image_guidance_scale,image_path,num_inference_steps,phase,priority_group,prompt,prompt_priority,prompt_slug,prompt_type,reason_selected,reject_reason,seed,selected_for_breadth_probe
face_001__add_headphones__igs_2p00,-0.0031796395778656006,0.0362503806764247,phase3/outputs/clean_discovery/cases/face_001/add_headphones/igs_2p00/original.png,phase3/outputs/clean_discovery/cases/face_001/add_headphones/igs_2p00/clean_edit.png,28.813748568175576,reject_clean_semantic_margin,0.8311904072761536,False,False,face_001,7.5,2.0,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add headphones,1,add_headphones,headphones,,clean_clip_margin_nonpositive:-0.0032,1234,False
face_001__add_a_black_jacket__igs_1p00,0.024559155106544495,0.3768653767497435,phase3/outputs/clean_discovery/cases/face_001/add_a_black_jacket/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_001/add_a_black_jacket/igs_1p00/clean_edit.png,8.47627520151114,reject_clean_global_shift,0.3594253361225128,False,False,face_001,7.5,1.0,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add a black jacket,5,add_a_black_jacket,clothing,,clean_ssim_below_threshold:0.3594,1234,False
face_001__add_a_black_jacket__igs_1p50,0.025110989809036255,0.36665943402324014,phase3/outputs/clean_discovery/cases/face_001/add_a_black_jacket/igs_1p50/original.png,phase3/outputs/clean_discovery/cases/face_001/add_a_black_jacket/igs_1p50/clean_edit.png,8.714742725489282,reject_clean_global_shift,0.3773547112941742,False,False,face_001,7.5,1.5,data/face_001/instruct_512.png,20,phase3_clean_discovery,baseline_reference,add a black jacket,5,add_a_black_jacket,clothing,,clean_ssim_below_threshold:0.3774,1234,False
face_002__make_the_person_smile_slightly__igs_2p00,-0.009256765246391296,0.04315448979561011,phase3/outputs/clean_discovery/cases/face_002/make_the_person_smile_slightly/igs_2p00/original.png,phase3/outputs/clean_discovery/cases/face_002/make_the_person_smile_slightly/igs_2p00/clean_edit.png,27.299480271503214,reject_clean_semantic_margin,0.7930045127868652,False,False,face_002,7.5,2.0,data/face_002/instruct_512.png,20,phase3_clean_discovery,primary,make the person smile slightly,9,make_the_person_smile_slightly,smile,,clean_clip_margin_nonpositive:-0.0093,1234,False
face_003__add_a_black_jacket__igs_1p00,0.019182443618774414,0.32165979023898167,phase3/outputs/clean_discovery/cases/face_003/add_a_black_jacket/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_003/add_a_black_jacket/igs_1p00/clean_edit.png,9.852064512067868,reject_clean_global_shift,0.301769882440567,False,False,face_003,7.5,1.0,data/face_003/instruct_512.png,20,phase3_clean_discovery,primary,add a black jacket,5,add_a_black_jacket,clothing,,clean_ssim_below_threshold:0.3018,1234,False
face_003__make_the_person_smile_slightly__igs_1p50,-0.0014022290706634521,0.0411383758964046,phase3/outputs/clean_discovery/cases/face_003/make_the_person_smile_slightly/igs_1p50/original.png,phase3/outputs/clean_discovery/cases/face_003/make_the_person_smile_slightly/igs_1p50/clean_edit.png,27.715057156643297,reject_clean_semantic_margin,0.7993993759155273,False,False,face_003,7.5,1.5,data/face_003/instruct_512.png,20,phase3_clean_discovery,primary,make the person smile slightly,9,make_the_person_smile_slightly,smile,,clean_clip_margin_nonpositive:-0.0014,1234,False
face_003__make_the_person_smile_slightly__igs_2p00,-0.006704837083816528,0.03966327845174374,phase3/outputs/clean_discovery/cases/face_003/make_the_person_smile_slightly/igs_2p00/original.png,phase3/outputs/clean_discovery/cases/face_003/make_the_person_smile_slightly/igs_2p00/clean_edit.png,28.03222782245511,reject_clean_semantic_margin,0.78048175573349,False,False,face_003,7.5,2.0,data/face_003/instruct_512.png,20,phase3_clean_discovery,primary,make the person smile slightly,9,make_the_person_smile_slightly,smile,,clean_clip_margin_nonpositive:-0.0067,1234,False
face_005__add_round_glasses__igs_2p00,-0.003331780433654785,0.03517213436075143,phase3/outputs/clean_discovery/cases/face_005/add_round_glasses/igs_2p00/original.png,phase3/outputs/clean_discovery/cases/face_005/add_round_glasses/igs_2p00/clean_edit.png,29.076025529327197,reject_clean_semantic_margin,0.8642004132270813,False,False,face_005,7.5,2.0,data/face_005/instruct_512.png,20,phase3_clean_discovery,primary,add round glasses,3,add_round_glasses,glasses,,clean_clip_margin_nonpositive:-0.0033,1234,False
face_005__add_a_black_jacket__igs_1p00,0.020920634269714355,0.4353028541860025,phase3/outputs/clean_discovery/cases/face_005/add_a_black_jacket/igs_1p00/original.png,phase3/outputs/clean_discovery/cases/face_005/add_a_black_jacket/igs_1p00/clean_edit.png,7.224169705178822,reject_clean_global_shift,0.37212157249450684,False,False,face_005,7.5,1.0,data/face_005/instruct_512.png,20,phase3_clean_discovery,primary,add a black jacket,5,add_a_black_jacket,clothing,,clean_ssim_below_threshold:0.3721,1234,False
face_005__add_a_black_jacket__igs_1p50,0.018151521682739258,0.41682841817090005,phase3/outputs/clean_discovery/cases/face_005/add_a_black_jacket/igs_1p50/original.png,phase3/outputs/clean_discovery/cases/face_005/add_a_black_jacket/igs_1p50/clean_edit.png,7.600853594838492,reject_clean_global_shift,0.4384922981262207,False,False,face_005,7.5,1.5,data/face_005/instruct_512.png,20,phase3_clean_discovery,primary,add a black jacket,5,add_a_black_jacket,clothing,,clean_ssim_below_threshold:0.4385,1234,False
