best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,max_disp_px,max_disp_px_budget,mean_disp_px,member,mesh_size,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,scale_factor,seed,semantic_drop,semantic_drop_weight,target_input_ssim,tps_size
phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_028_g03_m04,medium,4.0,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_028_g03_m04,28,cand_028_g03_m04,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.522087344899774,0.16790671313996047,3,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.01868750926577895,0.5725489854812622,0.006102328654378653,0.04950360457102542,34.568971579926846,0.9429702162742615,2.5260863304138184,4.0,0.5193471312522888,4,4,0.16790671313996047,1.0,0.024810466083871646,0.7686274647712708,0.011173058301210403,32.10730154184138,0.9313351511955261,2.1491687297821045,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_028_g03_m04/flow.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_028_g03_m04/original.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_028_g03_m04/original_edited.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_028_g03_m04/perturbed.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_028_g03_m04/perturbed_edited.png,0.0,0.0,phase2a_probe,0.16790671313996047,0.16790671313996047,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add headphones,1,add_headphones,1,3,headphones,0.644409716129303,22001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_024_g02_m12,medium,4.0,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_024_g02_m12,24,cand_024_g02_m12,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",reject_input_damage,"['input_ssim_below_target:0.9395<0.9400', 'clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'""]",0.0,4.862612659111619,0.1644575286011985,2,0.0,1.0,combined_tps_dct,False,False,0.004354496002196839,3.0,0.019727487737136513,0.8039215803146362,0.006608192343264818,0.0,34.09856435817788,0.9394556879997253,2.9330310821533203,4.0,0.6519108414649963,12,4,0.17752101660778902,1.0,0.026401779654152153,0.8274509906768799,0.011000428348779678,31.567335956597084,0.9280861020088196,2.6329033374786377,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_024_g02_m12/flow.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_024_g02_m12/original.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_024_g02_m12/original_edited.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_024_g02_m12/perturbed.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_024_g02_m12/perturbed_edited.png,0.0,0.0,phase2a_probe,0.1644575286011985,0.17752101660778902,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add headphones,1,add_headphones,2,3,headphones,0.7482222318649292,22001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_006_g01_m06,medium,4.0,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_006_g01_m06,6,cand_006_g01_m06,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.681908691301942,0.16335888472824017,1,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.017085232282807596,0.4549019932746887,0.005957817658782005,0.001249670982361727,35.34758224721853,0.9400749802589417,2.5291929244995117,4.0,0.4801415801048279,6,4,0.16335888472824017,1.0,0.022886519053649704,0.5490196347236633,0.011987999081611633,32.80840513449678,0.9281871914863586,1.9724675416946411,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_006_g01_m06/flow.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_006_g01_m06/original.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_006_g01_m06/original_edited.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_006_g01_m06/perturbed.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_006_g01_m06/perturbed_edited.png,0.0,0.0,phase2a_probe,0.16335888472824017,0.16335888472824017,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add headphones,1,add_headphones,3,3,headphones,0.6472119092941284,22001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_029_g03_m05,medium,4.0,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_029_g03_m05,29,cand_029_g03_m05,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.549252795055509,0.1624341654073886,3,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.018067366342550968,0.8470588326454163,0.006075436715036631,0.015617370605469624,34.86210298780426,0.9409370422363281,2.599485158920288,4.0,0.505355954170227,5,4,0.1624341654073886,1.0,0.02309638379245231,0.7568627595901489,0.010920197702944279,32.7291202479785,0.9299513697624207,1.9887803792953491,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_029_g03_m05/flow.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_029_g03_m05/original.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_029_g03_m05/original_edited.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_029_g03_m05/perturbed.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_029_g03_m05/perturbed_edited.png,0.0,0.0,phase2a_probe,0.1624341654073886,0.1624341654073886,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add headphones,1,add_headphones,4,3,headphones,0.663133978843689,22001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_015_g02_m03,medium,4.0,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_015_g02_m03,15,cand_015_g02_m03,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",reject_input_damage,"['input_ssim_below_target:0.9398<0.9400', 'clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'""]",0.0,5.318985881283879,0.16145512298531278,2,0.0,1.0,region_local_tps,False,False,0.001915950775146058,3.0,0.018746827398547508,0.43529412150382996,0.006068695802241564,0.0,34.5414443826042,0.9397605061531067,2.868074417114258,4.0,0.49282345175743103,3,4,0.16720297531075096,1.0,0.02412009883867407,0.5686274766921997,0.011173262260854244,32.352418337766416,0.9292774200439453,2.1295523643493652,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_015_g02_m03/flow.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_015_g02_m03/original.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_015_g02_m03/original_edited.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_015_g02_m03/perturbed.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_015_g02_m03/perturbed_edited.png,0.0,0.0,phase2a_probe,0.16145512298531278,0.16720297531075096,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add headphones,1,add_headphones,5,3,headphones,0.7316516637802124,22001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_027_g03_m03,medium,4.0,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_027_g03_m03,27,cand_027_g03_m03,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.2500752210617065,0.16058210740669626,3,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.015699801730915956,0.658823549747467,0.005425627809017897,0.10193979740142901,36.082116643169265,0.9461163878440857,2.322968006134033,4.0,0.41447216272354126,3,4,0.16058210740669626,1.0,0.02253908964540576,0.7450980544090271,0.012548085302114487,32.94127258209025,0.9295742511749268,1.7790372371673584,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_027_g03_m03/flow.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_027_g03_m03/original.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_027_g03_m03/original_edited.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_027_g03_m03/perturbed.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_027_g03_m03/perturbed_edited.png,0.0,0.0,phase2a_probe,0.16058210740669626,0.16058210740669626,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add headphones,1,add_headphones,6,3,headphones,0.5925939083099365,22001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_032_g03_m08,medium,4.0,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_032_g03_m08,32,cand_032_g03_m08,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.870606351643801,0.16049450689502504,3,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.016864183385701222,0.8392156958580017,0.005756272468715906,0.15977219740549797,35.46069367611913,0.9495863318443298,2.9273600578308105,4.0,0.4209124743938446,8,4,0.16049450689502504,1.0,0.023612126842011878,0.8117647171020508,0.011221257038414478,32.5372978491508,0.9339540004730225,1.750226616859436,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_032_g03_m08/flow.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_032_g03_m08/original.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_032_g03_m08/original_edited.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_032_g03_m08/perturbed.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_032_g03_m08/perturbed_edited.png,0.0,0.0,phase2a_probe,0.16049450689502504,0.16049450689502504,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add headphones,1,add_headphones,7,3,headphones,0.7467755079269409,22001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_008_g01_m08,medium,4.0,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_008_g01_m08,8,cand_008_g01_m08,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.837488202378154,0.15393384808394006,1,0.0,1.0,combined_tps_dct,False,False,0.0,3.0,0.015628984621226177,0.6627451181411743,0.005288023501634598,0.17946557203928704,36.12138472333054,0.9507679343223572,2.0631895065307617,4.0,0.3800937831401825,8,4,0.15393384808394006,1.0,0.021894371792904262,0.6509804129600525,0.011593257077038288,33.193350226874145,0.933643639087677,1.5266366004943848,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_008_g01_m08/flow.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_008_g01_m08/original.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_008_g01_m08/original_edited.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_008_g01_m08/perturbed.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_008_g01_m08/perturbed_edited.png,0.0,0.0,phase2a_probe,0.15393384808394006,0.15393384808394006,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add headphones,1,add_headphones,8,3,headphones,0.5263237953186035,22001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_023_g02_m11,medium,4.0,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_023_g02_m11,23,cand_023_g02_m11,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,4.558888822793961,0.1505082174170257,2,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.01609713384697752,0.615686297416687,0.0056479498744010925,0.10187423229217608,35.86502889582499,0.9461124539375305,1.9713153839111328,4.0,0.4054250121116638,11,4,0.1505082174170257,1.0,0.02160522153050307,0.5803921818733215,0.010911840945482254,33.30882552528061,0.9359126687049866,1.596433401107788,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_023_g02_m11/flow.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_023_g02_m11/original.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_023_g02_m11/original_edited.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_023_g02_m11/perturbed.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_023_g02_m11/perturbed_edited.png,0.0,0.0,phase2a_probe,0.1505082174170257,0.1505082174170257,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add headphones,1,add_headphones,9,3,headphones,0.5028876066207886,22001,0.0,4.0,0.94,4
phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_009_g01_m09,medium,4.0,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_009_g01_m09,9,cand_009_g01_m09,0.0,0.0,False,0.0,'BaseModelOutputWithPooling' object has no attribute 'norm',"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",metric_only_candidate,"['clip_unavailable_semantic_fallback', ""clip_warning:'BaseModelOutputWithPooling' object has no attribute 'norm'"", 'clean_edit_clip_margin_nonpositive:0.0000']",0.0,5.586385440081358,0.14857853461926582,1,0.0,1.0,region_local_tps,False,False,0.0,3.0,0.016518173913911142,0.6352941393852234,0.005565129220485687,0.09925560156504393,35.640759313371625,0.9459553360939026,1.76690673828125,4.0,0.3955773115158081,9,4,0.14857853461926582,1.0,0.02128635597632677,0.686274528503418,0.010555590502917767,33.437973586477156,0.9365668892860413,1.531677484512329,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_009_g01_m09/flow.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_009_g01_m09/original.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_009_g01_m09/original_edited.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_009_g01_m09/perturbed.png,phase2/outputs/phase2a_probe/add_headphones/medium/seed_00/candidates/cand_009_g01_m09/perturbed_edited.png,0.0,0.0,phase2a_probe,0.14857853461926582,0.14857853461926582,"4*max(0,semantic_drop)+1*output_disruption-3*input_damage_penalty-1*geometry_excess_penalty",add headphones,1,add_headphones,10,3,headphones,0.4507415294647217,22001,0.0,4.0,0.94,4
