disp_penalty,edit_direction_cosine,edit_direction_mse,effective_objective_scale,elapsed_seconds,fold_penalty,foldover_fraction_det_below_0,grad_norm,initial_objective_grad_norm,initial_regularizer_grad_norm,iter,jacobian_det_mean,jacobian_det_min,loss,low_det_fraction_below_0p2,max_disp_px,mean_disp_px,normalized_visual_mse,objective,p95_disp_px,scaled_objective,smooth_penalty,unet_prediction_mse,vae_conditioning_mse,visual_mse
0.000659328477922827,0.9516451358795166,6.156690233183326e-07,0.00431329007537466,0.38014113157987595,0.0,0.0,0.011190563440322876,2.759658098220825,0.009522564709186554,1,1.0,0.9891078472137451,-0.0005927506135776639,0.0,0.5300926566123962,0.09410414099693298,9.501114254817367e-05,0.3455606698989868,0.3178038001060486,0.0014905034331604838,0.0003348661120980978,4.272061232768465e-06,0.3455606698989868,2.1064690372440964e-05
0.0027005644515156746,0.9486979842185974,6.539632977364818e-07,0.00431329007537466,0.7295717429369688,0.0,0.0,0.020315315574407578,2.759658098220825,0.009522564709186554,2,1.0,0.982774555683136,0.00036161928437650204,0.0,1.0016288757324219,0.1771015226840973,0.0004920037463307381,0.8583424091339111,0.7451633214950562,0.0037022798787802458,0.0006283929105848074,1.0065838068840094e-05,0.8583424091339111,0.00010908096737693995
0.0023917057551443577,0.9491748809814453,6.462025794462534e-07,0.00431329007537466,1.0710034985095263,0.0,0.0,0.02001233771443367,2.759658098220825,0.009522564709186554,3,1.0,0.9678750038146973,-0.0004971129819750786,0.0,0.7653878927230835,0.17820702493190765,0.00043861629092134535,0.9614322185516357,0.6319204568862915,0.004146935883909464,0.0006353621138259768,1.134901958721457e-05,0.9614322185516357,9.724455594550818e-05
0.0016702708089724183,0.9485994577407837,6.508325895993039e-07,0.00431329007537466,1.349914712831378,0.0,0.0,0.016988733783364296,2.759658098220825,0.009522564709186554,4,1.0,0.972557008266449,-0.0005958427209407091,0.0,0.7650358080863953,0.14688974618911743,0.00027237096219323575,0.6816762685775757,0.5546103119850159,0.0029402675572782755,0.0004969235742464662,7.74337058828678e-06,0.6816762685775757,6.0386708355508745e-05
0.0008444730192422867,0.9497671127319336,6.413329174392857e-07,0.00431329007537466,1.6285007409751415,0.0,0.0,0.012369496747851372,2.759658098220825,0.009522564709186554,5,1.0,0.9839471578598022,-0.00098941579926759,0.0,0.4660678803920746,0.10384967923164368,0.00012555383727885783,0.49478843808174133,0.3919961750507355,0.002134166192263365,0.00035192136419937015,5.8754158089868724e-06,0.49478843808174133,2.7836238587042317e-05
0.0008620175067335367,0.9491740465164185,6.455898073909339e-07,0.00431329007537466,1.9326822720468044,0.0,0.0,0.013787687756121159,2.759658098220825,0.009522564709186554,6,1.0,0.9846096634864807,-0.0010630921460688114,0.0,0.4562356472015381,0.10639732331037521,0.0001644393923925236,0.573901891708374,0.3979327976703644,0.0024754053447395563,0.00036546456976793706,7.003837254160317e-06,0.573901891708374,3.645745891844854e-05
0.001271542627364397,0.9495354890823364,6.434289616663591e-07,0.00431329007537466,2.230059888213873,0.0,0.0,0.01348807755857706,2.759658098220825,0.009522564709186554,7,1.0,0.9750258326530457,-0.000865250825881958,0.0,0.6865069270133972,0.12192399799823761,0.00023344677174463868,0.6630101203918457,0.5171027779579163,0.002859754953533411,0.0004687197506427765,8.236012035922613e-06,0.6630101203918457,5.175692058401182e-05
0.00154665217269212,0.9509211778640747,6.24055815023894e-07,0.00431329007537466,2.510194467380643,0.0,0.0,0.01368646789342165,2.759658098220825,0.009522564709186554,8,1.0,0.9674273729324341,-0.00045870477333664894,0.0,0.8357447981834412,0.12984389066696167,0.00024710234720259905,0.606257975101471,0.6038230061531067,0.002614966593682766,0.000508494209498167,7.388800440821797e-06,0.606257975101471,5.4784461099188775e-05
0.0013705731835216284,0.9504213333129883,6.308056299531017e-07,0.00431329007537466,2.796881088986993,0.0,0.0,0.014591451734304428,2.759658098220825,0.009522564709186554,9,1.0,0.9651237726211548,-0.0004794411361217499,0.0,0.7547810077667236,0.12557512521743774,0.00019666380831040442,0.5208332538604736,0.5427857637405396,0.002246504882350564,0.0004622334090527147,6.226384812180186e-06,0.5208332538604736,4.3601856305031106e-05
0.0009152888087555766,0.9505744576454163,6.280911293288227e-07,0.00431329007537466,3.11664729565382,0.0,0.0,0.00885424017906189,2.759658098220825,0.009522564709186554,10,1.0,0.9658937454223633,-0.0009010971989482641,0.0,0.6227686405181885,0.10500364005565643,0.00012892219820059836,0.48666173219680786,0.43478381633758545,0.002099113306030631,0.0003936687426175922,5.689659701602068e-06,0.48666173219680786,2.8583028324646875e-05
