best_folder,budget,budget_max_disp_px,candidate_folder,candidate_index,candidate_name,clean_clip_positive_margin,clean_semantic_success_score,clip_available,clip_semantic_drop,clip_warning,crop_clip_available,crop_clip_warning,dct_modes,decision_label,decision_reasons,edit_failure_score,elapsed_seconds,final_attack_score,full_image_semantic_drop,generation,geometry_excess_penalty,geometry_excess_penalty_weight,geometry_method,identity_or_face_health_available,initial_candidate,input_damage_penalty,input_damage_penalty_weight,input_l2,input_max_abs,input_mean_abs,input_preservation_score,input_psnr,input_ssim,left_crop_clean_margin,left_crop_perturbed_margin,left_crop_semantic_drop,max_disp_px,max_disp_px_budget,mean_crop_margin,mean_crop_semantic_drop,mean_disp_px,member,mesh_size,min_crop_margin,min_crop_semantic_drop,output_disruption_score,output_disruption_weight,output_l2,output_max_abs,output_mean_abs,output_psnr,output_ssim,p95_disp_px,path_flow,path_original,path_original_edited,path_perturbed,path_perturbed_edited,perturbed_clip_positive_margin,perturbed_semantic_success_score,phase,phase2_final_score,phase2_output_disruption,phase2_score_formula,phase2c_applied_scale,phase2c_geometry_source,phase2c_part,phase2c_scale_factor,prompt,prompt_priority,prompt_slug,rank,region_count,region_key,region_variant,right_crop_clean_margin,right_crop_perturbed_margin,right_crop_semantic_drop,scale_factor,seed,semantic_drop,semantic_drop_weight,source_candidate_folder,source_candidate_name,source_phase2_final_score,source_semantic_drop,target_input_ssim,top_crop_clean_margin,top_crop_perturbed_margin,top_crop_semantic_drop,tps_size
phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/medium/scale_1p0,medium,4.0,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/medium/scale_1p0,1,amp_01_cand_034_g03_m02_x1p0_medium,0.027842342853546143,0.027842342853546143,True,0.03195562958717346,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.03195562958717346,5.815931659191847,0.29045077816588527,0.03195562958717346,0,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.010112799144722911,0.3529411554336548,0.003435734659433365,0.5941827694574996,39.90257236819979,0.97565096616745,0.02535329759120941,0.01803457736968994,0.00731872022151947,1.4258908033370972,4.0,0.00909582773844401,0.009015440940856934,0.2567063271999359,1,4,-0.006759241223335266,0.005469381809234619,0.1392229658739903,0.25,0.021094750920363725,0.5803921818733215,0.011060424149036407,33.516511965063884,0.9451560378074646,1.2223352193832397,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/medium/scale_1p0/flow.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/medium/scale_1p0/original.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/medium/scale_1p0/original_edited.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/medium/scale_1p0/perturbed.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/medium/scale_1p0/perturbed_edited.png,-0.004113286733627319,-0.004113286733627319,phase2c_probe,0.29045077816588527,0.1392229658739903,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",1.0,phase2b_theta_scaled_flow,amplification,1.0,add headphones,1,add_headphones,,3,source_regions,source_regions,0.021481528878211975,0.016012147068977356,0.005469381809234619,0.36374765634536743,24001,0.03195562958717346,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.26704548422268415,0.03195562958717346,0.94,0.007498979568481445,-0.006759241223335266,0.014258220791816711,4
phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/strong/scale_1p0,strong,6.0,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/strong/scale_1p0,8,amp_01_cand_034_g03_m02_x1p0_strong,0.027842342853546143,0.027842342853546143,True,0.03195562958717346,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.03195562958717346,4.570174891501665,0.29045077816588527,0.03195562958717346,0,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.010112799144722911,0.3529411554336548,0.003435734659433365,0.7565096616744995,39.90257236819979,0.97565096616745,0.02535329759120941,0.01803457736968994,0.00731872022151947,1.4258908033370972,6.0,0.00909582773844401,0.009015440940856934,0.2567063271999359,8,4,-0.006759241223335266,0.005469381809234619,0.1392229658739903,0.25,0.021094750920363725,0.5803921818733215,0.011060424149036407,33.516511965063884,0.9451560378074646,1.2223352193832397,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/strong/scale_1p0/flow.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/strong/scale_1p0/original.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/strong/scale_1p0/original_edited.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/strong/scale_1p0/perturbed.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/strong/scale_1p0/perturbed_edited.png,-0.004113286733627319,-0.004113286733627319,phase2c_probe,0.29045077816588527,0.1392229658739903,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",1.0,phase2b_theta_scaled_flow,amplification,1.0,add headphones,1,add_headphones,,3,source_regions,source_regions,0.021481528878211975,0.016012147068977356,0.005469381809234619,0.36374765634536743,24001,0.03195562958717346,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.26704548422268415,0.03195562958717346,0.9,0.007498979568481445,-0.006759241223335266,0.014258220791816711,4
phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/existence_probe/scale_1p0,existence_probe,8.0,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/existence_probe/scale_1p0,15,amp_01_cand_034_g03_m02_x1p0_existence_probe,0.027842342853546143,0.027842342853546143,True,0.03195562958717346,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.03195562958717346,4.630624696612358,0.29045077816588527,0.03195562958717346,0,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.010112799144722911,0.3529411554336548,0.003435734659433365,0.8260783297674996,39.90257236819979,0.97565096616745,0.02535329759120941,0.01803457736968994,0.00731872022151947,1.4258908033370972,8.0,0.00909582773844401,0.009015440940856934,0.2567063271999359,15,4,-0.006759241223335266,0.005469381809234619,0.1392229658739903,0.25,0.021094750920363725,0.5803921818733215,0.011060424149036407,33.516511965063884,0.9451560378074646,1.2223352193832397,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/existence_probe/scale_1p0/flow.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/existence_probe/scale_1p0/original.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/existence_probe/scale_1p0/original_edited.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/existence_probe/scale_1p0/perturbed.png,phase2/outputs/phase2c_probe/amplification/source_01_cand_034_g03_m02/existence_probe/scale_1p0/perturbed_edited.png,-0.004113286733627319,-0.004113286733627319,phase2c_probe,0.29045077816588527,0.1392229658739903,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",1.0,phase2b_theta_scaled_flow,amplification,1.0,add headphones,1,add_headphones,,3,source_regions,source_regions,0.021481528878211975,0.016012147068977356,0.005469381809234619,0.36374765634536743,24001,0.03195562958717346,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,0.26704548422268415,0.03195562958717346,0.86,0.007498979568481445,-0.006759241223335266,0.014258220791816711,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05,21,cand_021_g02_m05,0.027842342853546143,0.027842342853546143,True,0.031120657920837402,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.031120657920837402,5.329706473276019,0.2815707405672963,0.031120657920837402,2,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.009455993587537207,0.2823529541492462,0.0029712908435612917,0.8047786951065063,40.48585661948091,0.9804778695106506,0.02535329759120941,0.01691293716430664,0.008440360426902771,1.5317704677581787,6.0,0.010145053267478943,0.007966215411822,0.22341309487819672,5,4,-0.00542740523815155,0.002531901001930237,0.13042190880238835,0.25,0.020088308082669537,0.501960813999176,0.009944669902324677,33.9411327944557,0.9499313235282898,1.1597825288772583,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_021_g02_m05/perturbed_edited.png,-0.0032783150672912598,-0.0032783150672912598,phase2c_probe,0.2815707405672963,0.13042190880238835,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",,,semantic_heavy_cem,,add headphones,1,add_headphones,1,3,headphones_full,headphones_full,0.021481528878211975,0.01894962787628174,0.002531901001930237,0.26050513982772827,24001,0.031120657920837402,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,,,0.9,0.007498979568481445,-0.00542740523815155,0.012926384806632996,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/strong/seed_00/candidates/cand_064_g04_m16,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/strong/seed_00/candidates/cand_064_g04_m16,64,cand_064_g04_m16,0.027842342853546143,0.027842342853546143,True,0.030878305435180664,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.030878305435180664,4.943434100598097,0.2792168715784054,0.030878305435180664,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011911891105227992,0.7058823704719543,0.00347101129591465,0.7003984451293944,38.48038570843318,0.9700398445129395,0.02535329759120941,0.026527419686317444,-0.0011741220951080322,1.874535083770752,6.0,0.014738251765569052,0.003373016913731893,0.3109726011753082,16,4,0.0010106861591339111,-0.0011741220951080322,0.12876171238784045,0.25,0.020303399283597996,0.7254902124404907,0.00869287084788084,33.848624890485816,0.9524518847465515,1.4653079509735107,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/strong/seed_00/candidates/cand_064_g04_m16/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/strong/seed_00/candidates/cand_064_g04_m16/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/strong/seed_00/candidates/cand_064_g04_m16/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/strong/seed_00/candidates/cand_064_g04_m16/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_sides_only/strong/seed_00/candidates/cand_064_g04_m16/perturbed_edited.png,-0.0030359625816345215,-0.0030359625816345215,phase2c_probe,0.2792168715784054,0.12876171238784045,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",,,semantic_heavy_cem,,add headphones,1,add_headphones,1,2,headphones_sides_only,headphones_sides_only,0.021481528878211975,0.0166766494512558,0.004804879426956177,0.3187984824180603,24101,0.030878305435180664,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_025_g02_m09,cand_025_g02_m09,,,0.9,0.007498979568481445,0.0010106861591339111,0.006488293409347534,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07,7,cand_007_g01_m07,0.027842342853546143,0.027842342853546143,True,0.030601054430007935,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.030601054430007935,5.39354033395648,0.27846179408109584,0.030601054430007935,1,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011006051809584161,0.31372547149658203,0.0036592173855751753,0.7007781267166137,39.16736894268414,0.9700778126716614,0.02535329759120941,0.025277823209762573,7.547438144683838e-05,1.71005380153656,6.0,0.011287972331047058,0.006823296348253886,0.2874094545841217,7,4,-0.005835592746734619,7.547438144683838e-05,0.13461343456412944,0.25,0.020147855105761666,0.7372549176216125,0.01109608169645071,33.915423621041775,0.9459779858589172,1.3870809078216553,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_007_g01_m07/perturbed_edited.png,-0.002758711576461792,-0.002758711576461792,phase2c_probe,0.27846179408109584,0.13461343456412944,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",,,semantic_heavy_cem,,add headphones,1,add_headphones,2,3,headphones_full,headphones_full,0.021481528878211975,0.01442168653011322,0.007059842348098755,0.2908254861831665,24001,0.030601054430007935,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,,,0.9,0.007498979568481445,-0.005835592746734619,0.013334572315216064,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/existence_probe/seed_00/candidates/cand_041_g03_m09,existence_probe,8.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/existence_probe/seed_00/candidates/cand_041_g03_m09,41,cand_041_g03_m09,0.027842342853546143,0.027842342853546143,True,0.030433952808380127,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.030433952808380127,4.933489276096225,0.2842843272409096,0.030433952808380127,3,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.015177937403399571,0.4862745404243469,0.005229815375059843,0.6464950697762626,36.37574485232138,0.9505093097686768,0.02535329759120941,0.024289816617965698,0.0010634809732437134,2.0743045806884766,8.0,0.01555862526098887,0.0025526434183120728,0.38528722524642944,9,4,0.0036643147468566895,0.0010634809732437134,0.16325081909547415,0.25,0.024054158540691352,0.7529411911964417,0.011348516680300236,32.37619661852605,0.9329658150672913,1.683822512626648,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/existence_probe/seed_00/candidates/cand_041_g03_m09/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/existence_probe/seed_00/candidates/cand_041_g03_m09/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/existence_probe/seed_00/candidates/cand_041_g03_m09/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/existence_probe/seed_00/candidates/cand_041_g03_m09/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/existence_probe/seed_00/candidates/cand_041_g03_m09/perturbed_edited.png,-0.0025916099548339844,-0.0025916099548339844,phase2c_probe,0.2842843272409096,0.16325081909547415,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",,,semantic_heavy_cem,,add headphones,1,add_headphones,1,3,headphones_full,headphones_full,0.021481528878211975,0.018721744418144226,0.002759784460067749,0.2645796537399292,24002,0.030433952808380127,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_025_g02_m09,cand_025_g02_m09,,,0.86,0.007498979568481445,0.0036643147468566895,0.003834664821624756,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14,30,cand_030_g02_m14,0.027842342853546143,0.027842342853546143,True,0.030170559883117676,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.030170559883117676,4.921661708503962,0.27597584380574214,0.030170559883117676,2,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.012321134391382877,0.3333333730697632,0.0037131160497665405,0.7117948532104491,38.186986107656026,0.9711794853210449,0.02535329759120941,0.023826956748962402,0.0015263408422470093,1.7976454496383667,6.0,0.012903834382692972,0.005207434296607971,0.2724207043647766,14,4,-0.00395512580871582,0.0015263408422470093,0.13844545896320296,0.25,0.021245544690561176,0.5921568870544434,0.0104374336078763,33.45464260090554,0.9465367197990417,1.3974614143371582,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_030_g02_m14/perturbed_edited.png,-0.002328217029571533,-0.002328217029571533,phase2c_probe,0.27597584380574214,0.13844545896320296,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",,,semantic_heavy_cem,,add headphones,1,add_headphones,4,3,headphones_full,headphones_full,0.021481528878211975,0.018839672207832336,0.0026418566703796387,0.3057219982147217,24001,0.030170559883117676,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,,,0.9,0.007498979568481445,-0.00395512580871582,0.011454105377197266,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07,55,cand_055_g04_m07,0.027842342853546143,0.027842342853546143,True,0.030164092779159546,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.030164092779159546,5.134289080277085,0.27841615555084065,0.030164092779159546,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.011981150986055738,0.29411768913269043,0.003975228872150183,0.6883320808410643,38.43002917669412,0.9688332080841064,0.02535329759120941,0.018091559410095215,0.007261738181114197,1.453942060470581,6.0,0.010400156180063883,0.0077111124992370605,0.2713216245174408,7,4,-0.007830068469047546,0.0005425512790679932,0.1484136532702571,0.25,0.0222679364422591,0.5411764979362488,0.01178684551268816,33.04640053876556,0.9406580924987793,1.204925298690796,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_055_g04_m07/perturbed_edited.png,-0.0023217499256134033,-0.0023217499256134033,phase2c_probe,0.27841615555084065,0.1484136532702571,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",,,semantic_heavy_cem,,add headphones,1,add_headphones,3,3,headphones_full,headphones_full,0.021481528878211975,0.020938977599143982,0.0005425512790679932,0.24726906418800354,24001,0.030164092779159546,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,,,0.9,0.007498979568481445,-0.007830068469047546,0.015329048037528992,4
phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08,strong,6.0,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08,56,cand_056_g04_m08,0.027842342853546143,0.027842342853546143,True,0.029984652996063232,,True,,"[[1, 0], [0, 1], [1, 1], [2, 0], [0, 2], [2, 1]]",weak_candidate,[],0.029984652996063232,5.023046864196658,0.27505880654488635,0.029984652996063232,4,0.0,0.75,region_local_tps,False,False,0.0,3.0,0.01220550110286691,0.3490196466445923,0.0040132757276296616,0.6978443861007689,38.26888771413286,0.9697844386100769,0.02535329759120941,0.019205749034881592,0.00614754855632782,1.8467791080474854,6.0,0.011989141503969828,0.006122127175331116,0.3046839237213135,8,4,0.0025676190853118896,0.004931360483169556,0.14072633030552184,0.25,0.02126239300404617,0.5176470875740051,0.010536196641623974,33.44775717634163,0.9443232417106628,1.445265293121338,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08/flow.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08/original.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08/original_edited.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08/perturbed.png,phase2/outputs/phase2c_probe/semantic_heavy_cem/headphones_full/strong/seed_00/candidates/cand_056_g04_m08/perturbed_edited.png,-0.00214231014251709,-0.00214231014251709,phase2c_probe,0.27505880654488635,0.14072633030552184,"8.0*max(0,semantic_drop)+0.25*output_disruption-3.0*input_damage_penalty-0.75*geometry_excess_penalty",,,semantic_heavy_cem,,add headphones,1,add_headphones,5,3,headphones_full,headphones_full,0.021481528878211975,0.014194056391716003,0.007287472486495972,0.31407806277275085,24001,0.029984652996063232,8.0,phase2/outputs/phase2b_cem/add_headphones/medium/seed_00/candidates/cand_034_g03_m02,cand_034_g03_m02,,,0.9,0.007498979568481445,0.0025676190853118896,0.004931360483169556,4
