artifact_penalty,clean_quality_score,contrast,edit_strength_score,excessive_drift_penalty,face_detected_edited,face_detected_original,filter_reasons,filter_status,guidance_scale,identity_distance_sface_if_available,identity_similarity_sface_if_available,image_guidance_scale,l2,max_abs,mean_abs,mean_brightness,near_black_fraction,near_white_fraction,num_inference_steps,path_config,path_edited,path_original,prompt,prompt_group,prompt_slug,psnr,seed,ssim
0.0,2.140609085235647,0.2075173258781433,0.39060908523564686,0.0,True,True,,keep,7.5,,,2.0,0.03906090852356469,0.8078431487083435,0.024146318435668945,0.43680766224861145,0.033294677734375,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_thin_eyeglasses/igs_2p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_thin_eyeglasses/igs_2p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_thin_eyeglasses/igs_2p0_gs_7p5/original.png,add thin eyeglasses,primary,add_thin_eyeglasses,28.16515319219619,1234,0.8312036395072937
0.0,2.140227965401562,0.20797759294509888,0.390227965401562,0.0,True,True,,keep,7.5,,,2.5,0.0390227965401562,0.8078431487083435,0.02527819573879242,0.434976190328598,0.036380767822265625,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_thin_eyeglasses/igs_2p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_thin_eyeglasses/igs_2p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_thin_eyeglasses/igs_2p5_gs_7p5/original.png,add thin eyeglasses,primary,add_thin_eyeglasses,28.17363220860023,1234,0.8126723766326904
0.0,2.75,0.2170940786600113,1.0,0.0,True,True,,keep,7.5,,,1.0,0.16943046610910956,0.9019607901573181,0.11968052387237549,0.40339934825897217,0.02866363525390625,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_1p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_1p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_1p0_gs_7p5/original.png,add a black baseball cap,primary,add_a_black_baseball_cap,15.420169887967933,1234,0.6988528370857239
0.0,2.75,0.2109595239162445,1.0,0.0,True,True,,keep,7.5,,,1.5,0.1347149117736441,0.9137254953384399,0.08553916215896606,0.4003671705722809,0.031780242919921875,7.62939453125e-06,20,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_1p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_1p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_1p5_gs_7p5/original.png,add a black baseball cap,primary,add_a_black_baseball_cap,17.411686579590523,1234,0.7448563575744629
0.0,2.7246682391995614,0.21417833864688873,0.9746682391995615,0.0,True,True,,keep,7.5,,,2.0,0.09746682391995615,0.7882353067398071,0.06223228573799133,0.4021764397621155,0.04753875732421875,1.1444091796875e-05,20,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_2p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_2p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_2p0_gs_7p5/original.png,add a black baseball cap,primary,add_a_black_baseball_cap,20.222863714823003,1234,0.7872154712677002
0.0,2.3672052672098314,0.22153431177139282,0.6172052672098316,0.0,True,True,,keep,7.5,,,2.5,0.06172052672098316,0.5843137502670288,0.037557002156972885,0.4140782356262207,0.07665252685546875,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_2p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_2p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_black_baseball_cap/igs_2p5_gs_7p5/original.png,add a black baseball cap,primary,add_a_black_baseball_cap,24.19140752675964,1234,0.7740536332130432
0.0,2.4721504000370236,0.2108715921640396,0.7221504000370235,0.0,True,True,,keep,7.5,,,1.0,0.07221504000370235,0.8901960849761963,0.04312752187252045,0.42036372423171997,0.11326217651367188,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_1p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_1p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_1p0_gs_7p5/original.png,add a small black cap,primary,add_a_small_black_cap,22.827446876753875,1234,0.7777808308601379
0.0,2.273283146582544,0.2162897139787674,0.523283146582544,0.0,True,True,,keep,7.5,,,1.5,0.0523283146582544,0.6627451181411743,0.026333950459957123,0.4190629720687866,0.10162353515625,7.62939453125e-06,20,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_1p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_1p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_1p5_gs_7p5/original.png,add a small black cap,primary,add_a_small_black_cap,25.625265047766163,1234,0.7942320704460144
0.0,2.2549078656590003,0.2211488038301468,0.5049078656590003,0.0,True,True,,keep,7.5,,,2.0,0.050490786565900024,0.6431372761726379,0.028357744216918945,0.4202508330345154,0.09148025512695312,3.814697265625e-06,20,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_2p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_2p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_2p0_gs_7p5/original.png,add a small black cap,primary,add_a_small_black_cap,25.935757272733486,1234,0.78655606508255
0.0,2.219891652976957,0.219704270362854,0.4698916529769569,0.0,True,True,,keep,7.5,,,2.5,0.046989165297695694,0.6352941393852234,0.028850749135017395,0.4201129674911499,0.08023834228515625,7.62939453125e-06,20,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_2p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_2p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_small_black_cap/igs_2p5_gs_7p5/original.png,add a small black cap,primary,add_a_small_black_cap,26.560045391868904,1234,0.781914472579956
